time,p0,p1,p2,p3
17:29:45.392000,0.0,0.0,308.0,309.0
17:29:45.406000,0.0,0.0,309.0,308.0
17:29:45.414000,0.0,0.0,307.0,283.0
17:29:45.422000,0.0,0.0,309.0,308.0
17:29:45.436000,0.0,0.0,309.0,308.0
17:29:45.444000,0.0,0.0,308.0,310.0
17:29:45.452000,0.0,0.0,308.0,310.0
17:29:45.466000,0.0,0.0,308.0,306.0
17:29:45.474000,0.0,0.0,308.0,298.0
17:29:45.482000,0.0,0.0,307.0,308.0
17:29:45.496000,0.0,0.0,308.0,308.0
17:29:45.504000,0.0,0.0,307.0,308.0
17:29:45.512000,0.0,0.0,309.0,308.0
17:29:45.526000,0.0,0.0,308.0,308.0
17:29:45.534000,0.0,0.0,308.0,308.0
17:29:45.542000,0.0,0.0,308.0,310.0
17:29:45.556000,0.0,0.0,308.0,310.0
17:29:45.564000,0.0,0.0,308.0,308.0
17:29:45.572000,0.0,0.0,307.0,308.0
17:29:45.586000,0.0,0.0,308.0,308.0
17:29:45.594000,0.0,0.0,308.0,309.0
17:29:45.602000,0.0,0.0,310.0,308.0
17:29:45.616000,0.0,0.0,308.0,308.0
17:29:45.624000,0.0,0.0,308.0,308.0
17:29:45.632000,0.0,0.0,308.0,308.0
17:29:45.646000,0.0,0.0,307.0,308.0
17:29:45.654000,0.0,0.0,308.0,308.0
17:29:45.662000,0.0,0.0,308.0,308.0
17:29:45.676000,0.0,0.0,308.0,308.0
17:29:45.684000,0.0,0.0,309.0,309.0
17:29:45.692000,0.0,0.0,307.0,310.0
17:29:45.706000,0.0,0.0,309.0,308.0
17:29:45.714000,0.0,0.0,307.0,308.0
17:29:45.722000,0.0,0.0,307.0,307.0
17:29:45.736000,0.0,0.0,308.0,308.0
17:29:45.744000,0.0,0.0,308.0,309.0
17:29:45.752000,0.0,0.0,308.0,309.0
17:29:45.766000,0.0,0.0,308.0,308.0
17:29:45.774000,0.0,0.0,308.0,306.0
17:29:45.782000,0.0,0.0,310.0,308.0
17:29:45.796000,0.0,0.0,308.0,308.0
17:29:45.804000,0.0,0.0,307.0,307.0
17:29:45.812000,0.0,0.0,307.0,308.0
17:29:45.826000,0.0,0.0,308.0,308.0
17:29:45.834000,0.0,0.0,308.0,309.0
17:29:45.842000,0.0,0.0,307.0,310.0
17:29:45.856000,0.0,0.0,309.0,309.0
17:29:45.864000,0.0,0.0,299.0,310.0
17:29:45.872000,0.0,0.0,308.0,308.0
17:29:45.886000,0.0,0.0,308.0,308.0
17:29:45.894000,0.0,0.0,307.0,308.0
17:29:45.902000,0.0,0.0,308.0,310.0
17:29:45.916000,0.0,0.0,308.0,309.0
17:29:45.924000,0.0,0.0,307.0,310.0
17:29:45.932000,0.0,0.0,308.0,308.0
17:29:45.946000,0.0,0.0,309.0,308.0
17:29:45.954000,0.0,0.0,308.0,308.0
17:29:45.962000,0.0,0.0,306.0,308.0
17:29:45.976000,0.0,0.0,308.0,310.0
17:29:45.984000,0.0,0.0,308.0,309.0
17:29:45.992000,0.0,0.0,308.0,309.0
17:29:46.006000,0.0,0.0,308.0,308.0
17:29:46.014000,0.0,0.0,307.0,308.0
17:29:46.022000,0.0,0.0,306.0,306.0
17:29:46.036000,0.0,0.0,308.0,308.0
17:29:46.044000,0.0,0.0,307.0,309.0
17:29:46.052000,0.0,0.0,307.0,308.0
17:29:46.066000,0.0,0.0,310.0,309.0
17:29:46.074000,0.0,0.0,308.0,308.0
17:29:46.082000,0.0,0.0,308.0,310.0
17:29:46.096000,0.0,0.0,308.0,309.0
17:29:46.104000,0.0,0.0,309.0,314.0
17:29:46.112000,0.0,0.0,307.0,308.0
17:29:46.126000,0.0,0.0,309.0,309.0
17:29:46.134000,0.0,0.0,308.0,308.0
17:29:46.142000,0.0,0.0,308.0,309.0
